title,studio,lifetime_gross,year
Ice Age: Dawn of the Dinosaurs,Fox,196573705,2009
Ice Age: The Meltdown,Fox,195330621,2006
Mission: Impossible - Rogue Nation,Paramount,195042377,2015
Madagascar,DreamWorks,193595521,2005
Twilight,Summit,192769854,2008
Toy Story,Disney,191796233,1995
22 Jump Street,Sony,191719337,2014
Cars 2,Disney,191452396,2011
Teenage Mutant Ninja Turtles (2014),Paramount,191204754,2014
Men in Black II,Sony,190418803,2002
Spider-Man: Into The Spider-Verse,Sony,190241310,2018
Dunkirk,WB,189740665,2017
Wreck-It Ralph,Disney,189422889,2012
A Quiet Place,Paramount,188024361,2018
Interstellar,Paramount,188020017,2014
Gladiator,DreamWorks,187705427,2000
The Polar Express,WB,187224490,2004
The Croods,Fox,187168425,2013
Sherlock Holmes: A Game of Shadows,WB,186848418,2011
The Day After Tomorrow,Fox,186740799,2004
Mr. & Mrs. Smith,Fox,186336279,2005
Pitch Perfect 2,Universal,184296230,2015
Batman Forever,WB,184069126,1995
The Fugitive,WB,183875760,1993
The Revenant,Fox,183637894,2015
Ocean's Eleven,WB,183417150,2001
The Simpsons Movie,Fox,183135014,2007
What Women Want,Paramount,182811707,2000
The Perfect Storm,WB,182618434,2000
Lincoln,Disney,182207973,2012
Liar Liar,Universal,181410615,1997
Jurassic Park III,Universal,181171875,2001
Thor,Paramount,181030624,2011
Mission: Impossible,Paramount,180981856,1996
Ant-Man,Disney,180202163,2015
Planet of the Apes (2001),Fox,180011740,2001
Madagascar: Escape 2 Africa,Paramount,180010950,2008
X-Men Origins: Wolverine,Fox,179883157,2009
Hitch,Sony,179495555,2005
MIB 3,Sony,179020854,2012
Pretty Woman,Disney,178406268,1990
Home (2015),Fox,177397510,2015
Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
How to Train Your Dragon 2,Fox,177002924,2014
Rise of the Planet of the Apes,Fox,176760185,2011
Captain America: The First Avenger,Paramount,176654505,2011
The Karate Kid,Sony,176591618,2010
There's Something About Mary,Fox,176484651,1998
Ice Age,Fox,176387405,2002
The Bourne Supremacy,Universal,176241941,2004
Get Out,Universal,176040665,2017
The LEGO Batman Movie,WB,175750384,2017
Us,Universal,175005930,2019
The Boss Baby,Fox,175003033,2017
Crazy Rich Asians,WB,174532921,2018
The Greatest Showman,Fox,174340174,2017
Apollo 13,Universal,173837933,1995
Home Alone 2: Lost in New York,Fox,173585516,1992
National Treasure,Disney,173008894,2004
Air Force One,Sony,172956409,1997
Pirates of the Caribbean: Dead Men Tell No Tales,Disney,172558876,2017
Tron Legacy,Disney,172062763,2010
Mary Poppins Returns,Disney,171958438,2018
The Matrix,WB,171479930,1999
True Grit,Paramount,171243005,2010
Tarzan,Disney,171091819,1999
A Beautiful Mind,Universal,170742341,2001
John Wick: Chapter 3 - Parabellum,Lionsgate,169935857,2019
The Help,Disney,169708112,2011
Hotel Transylvania 2,Sony,169700110,2015
Hidden Figures,Fox,169607287,2016
Bridesmaids,Universal,169106725,2011
Quantum of Solace,Sony,168368427,2008
Wild Hogs,Disney,168273550,2007
Kong: Skull Island,WB,168052812,2017
Gone Girl,Fox,167767189,2014
