title,studio,lifetime_gross,year
About Last Night (2014),Screen Gems,48637684,2014
Speed 2: Cruise Control,Fox,48608066,1997
Date Movie,Fox,48548426,2006
Miss Congeniality 2: Armed and Fabulous,WB,48478006,2005
The Dilemma,Universal,48475290,2011
Peter Pan,Universal,48462608,2003
Return to Never Land,Disney,48430258,2002
The Huntsman: Winter's War,Universal,48390190,2016
Big Fat Liar,Universal,48360547,2002
Just Like Heaven,DreamWorks,48318130,2005
The House Bunny,Sony,48237389,2008
Wayne's World 2,Paramount,48197805,1993
Malcolm X,WB,48169910,1992
G.I. Jane,Disney,48169156,1997
Fat Albert,Fox,48116322,2004
The Preacher's Wife,Disney,48102795,1996
The Land Before Time,Universal,48092846,1988
Sinister,Lionsgate,48086903,2012
Kick-Ass,Lionsgate,48071303,2010
Secret Window,Sony,48022900,2004
Nim's Island,Fox,48006762,2008
The Skeleton Key,Universal,47907715,2005
The Jungle Book 2,Disney,47901582,2003
When a Stranger Calls,Screen Gems,47860214,2006
Premonition,Sony,47852604,2007
Alien Resurrection,Fox,47795658,1997
The Rundown,Universal,47726342,2003
Dan in Real Life,Disney,47642963,2007
New Jack City,WB,47624353,1991
Into The Storm,WB,47602194,2014
"Precious: Based on the Novel ""Push"" by Sapphire",Lionsgate,47566524,2009
The Kingdom,Universal,47536778,2007
Poltergeist (2015),Fox,47425125,2015
Hard to Kill,WB,47410827,1990
Munich,Universal,47403685,2005
Kingdom of Heaven,Fox,47398413,2005
Jupiter Ascending,WB,47387723,2015
Savages (2012),Universal,47382068,2012
Warcraft,Universal,47365290,2016
Tyler Perry's Boo 2! A Madea Halloween,Lionsgate,47319572,2017
Nanny McPhee,Universal,47144110,2006
The Judge,WB,47119388,2014
Killers,Lionsgate,47059963,2010
Jersey Boys,WB,47047013,2014
Shooter,Paramount,47003582,2007
Silent Hill,Sony,46982632,2006
Sicario,Lionsgate,46889293,2015
Red Sparrow,Fox,46874505,2018
How to Be Single,WB,46843513,2016
Breaking In (2018),Universal,46840590,2018
Goodfellas,WB,46836214,1990
The River Wild,Universal,46816343,1994
Boogeyman,Screen Gems,46752382,2005
"Dude, Where's My Car?",Fox,46729800,2000
The Rocketeer,Disney,46704056,1991
Goosebumps 2: Haunted Halloween,Sony,46700633,2018
Practical Magic,WB,46683377,1998
The Distinguished Gentleman,Disney,46666502,1992
The Brady Bunch Movie,Paramount,46576136,1995
Phone Booth,Fox,46566212,2003
The Legend of Zorro,Sony,46464023,2005
Arthur Christmas,Sony,46462469,2011
The Best Exotic Marigold Hotel,Fox,46412041,2012
Deep Sea 3D (IMAX),WB,46399299,2006
Romeo + Juliet,Fox,46351345,1996
Blended,WB,46294610,2014
Black Rain,Paramount,46212055,1989
One Fine Day,Fox,46151454,1996
Marked for Death,Fox,46044396,1990
Made of Honor,Sony,46012734,2008
Mike and Dave Need Wedding Dates,Fox,46009673,2016
Gangster Squad,WB,46000903,2013
The Full Monty,Fox,45950122,1997
The Rainmaker (1997),Paramount,45916769,1997
Snatched,Fox,45852178,2017
12 Strong,WB,45819713,2018
In Good Company,Universal,45806659,2004
Underworld: Rise of the Lycans,Screen Gems,45802315,2009
Five Feet Apart,Lionsgate,45729221,2019
Saw 3D,Lionsgate,45710178,2010
Young Guns,Fox,45661556,1988
College Road Trip,Disney,45610425,2008
D2: The Mighty Ducks,Disney,45610410,1994
The Tigger Movie,Disney,45554533,2000
The Great Wall,Universal,45540830,2017
"O Brother, Where Art Thou?",Disney,45512588,2000
Medicine Man,Disney,45500797,1992
The Man From U.N.C.L.E.,WB,45445109,2015
Ma (2019),Universal,45373120,2019
Here Comes the Boom,Sony,45290318,2012
Domestic Disturbance,Paramount,45246095,2001
Wonder Park,Paramount,45216793,2019
Zoolander,Paramount,45172250,2001
28 Days Later,Fox,45064915,2003
Hall Pass,WB,45060734,2011
Smurfs: The Lost Village,Sony,45020282,2017
Going in Style (2017),WB,45018541,2017
Made in America,WB,44942695,1993
First Man,Universal,44936545,2018
All Eyez on Me,Lionsgate,44922302,2017
xXx: The Return of Xander Cage,Paramount,44898413,2017
Cop Out,WB,44875481,2010
Timecop,Universal,44853581,1994
The Good Son,Fox,44789789,1993
The Replacements,WB,44737059,2000
The Internship,Fox,44672764,2013
Meet Joe Black,Universal,44619100,1998
The Negotiator,WB,44547681,1998
Napoleon Dynamite,Fox,44540956,2004
"McFarland, USA",Disney,44482410,2015
Nothing to Lose,Disney,44480039,1997
Instructions Not Included,Lionsgate,44467206,2013
The Three Stooges,Fox,44338224,2012
Confessions of a Shopaholic,Disney,44277350,2009
Amistad,DreamWorks,44229441,1997
Young Guns II,Fox,44143410,1990
The Lovely Bones,Paramount,44114232,2009
The Sisterhood of the Traveling Pants 2,WB,44089964,2008
Passenger 57,WB,44065653,1992
The Beverly Hillbillies,Fox,44029386,1993
Speed Racer,WB,43945766,2008
The One,Sony,43905746,2001
Must Love Dogs,WB,43894863,2005
Prom Night (2008),Screen Gems,43869350,2008
Always,Universal,43858790,1989
License to Wed,WB,43799818,2007
Underdog,Disney,43760605,2007
Pokemon: The Movie 2000,WB,43758684,2000
Tears of the Sun,Sony,43734876,2003
Soul Food,Fox,43700855,1997
Under the Tuscan Sun,Disney,43610723,2003
Cats & Dogs: The Revenge of Kitty Galore,WB,43585753,2010
Need for Speed,Disney,43577636,2014
Tyler Perry's Acrimony,Lionsgate,43549096,2018
We Are Marshall,WB,43545364,2006
Everest (2015),Universal,43482270,2015
Year One,Sony,43337279,2009
Edge of Darkness,WB,43313890,2010
Star Trek: Nemesis,Paramount,43254409,2002
K-9,Universal,43247647,1989
Sherlock Gnomes,Paramount,43242871,2018
The Jungle Book (1994),Disney,43229904,1994
Point Break,Fox,43218387,1991
Biloxi Blues,Universal,43184798,1988
Sense and Sensibility,Sony,43182776,1995
A Million Ways to Die in the West,Universal,43139300,2014
No Reservations,WB,43107979,2007
Transporter 2,Fox,43095856,2005
Reign of Fire,Disney,43061982,2002
The Night Before,Sony,43047372,2015
John Wick,Lionsgate,43037835,2014
War Dogs,WB,43034523,2016
Regarding Henry,Paramount,43001500,1991
Rumor Has It,WB,43000262,2005
Snitch,Lionsgate,42930462,2013
The Big Sick,Lionsgate,42873127,2017
The Devil's Own,Sony,42868348,1997
Gulliver's Travels,Fox,42779261,2010
Rambo,Lionsgate,42754105,2008
Death at a Funeral (2010),Screen Gems,42739347,2010
The Lizzie McGuire Movie,Disney,42734455,2003
Spanglish,Sony,42726869,2004
Krampus,Universal,42725475,2015
Because I Said So,Universal,42674040,2007
The Unborn (2009),Universal,42670410,2009
Max (2015),WB,42656255,2015
Glory Road,Disney,42647449,2006
The Age of Adaline,Lionsgate,42629776,2015
Beverly Hills Cop III,Paramount,42614912,1994
Final Destination 5,WB,42587643,2011
Casino,Universal,42512375,1995
Uncle Drew,Lionsgate,42469946,2018
Welcome Home Roscoe Jenkins,Universal,42436517,2008
Widows,Fox,42402632,2018
Step Up 3-D,Disney,42400223,2010
Resident Evil: Retribution,Screen Gems,42345531,2012
Birdman,Fox,42340598,2014
Lady in the Water,WB,42285169,2006
Planet 51,Sony,42194060,2009
Almost Christmas,Universal,42158780,2016
Drag Me to Hell,Universal,42100625,2009
The Cabin in the Woods,Lionsgate,42073277,2012
Fever Pitch,Fox,42071069,2005
Riddick,Universal,42025135,2013
Dolphin Tale 2,WB,42024533,2014
A Dog's Way Home,Sony,42004346,2019
Tyler Perry's Meet the Browns,Lionsgate,41975388,2008
Donnie Brasco,Sony,41909762,1997
Thirteen Ghosts,WB,41867960,2001
Nights in Rodanthe,WB,41850659,2008
Homeward Bound: The Incredible Journey,Disney,41833324,1993
Exorcist: The Beginning,WB,41821986,2004
Aliens Vs. Predator - Requiem,Fox,41797066,2007
The Hills Have Eyes,Fox,41778863,2006
The Hours,Paramount,41675994,2002
Orphan,WB,41596251,2009
High Crimes,Fox,41543917,2002
Gremlins 2: The New Batch,WB,41482207,1990
The Great Outdoors,Universal,41455230,1988
Truth or Dare,Universal,41411015,2018
About a Boy,Universal,41385278,2002
Tequila Sunrise,WB,41292551,1988
A Walk to Remember,WB,41281092,2002
The Peacemaker,DreamWorks,41263140,1997
Private Parts,Paramount,41230799,1997
What to Expect When You're Expecting,Lionsgate,41152203,2012
The Mirror Has Two Faces,Sony,41083864,1996
Orange County,Paramount,41076018,2002
The Last Exorcism,Lionsgate,41034350,2010
John Tucker Must Die,Fox,41011711,2006
The Siege,Fox,40981289,1998
The Ides of March,Sony,40962534,2011
The Water Horse: Legend of the Deep,Sony,40946255,2007
Falling Down,WB,40903593,1993
Paddington 2,WB,40891591,2018
The Star,Sony,40852824,2017
House on Haunted Hill,WB,40846082,1999
"Love, Simon",Fox,40826341,2018
Breakthrough,Fox,40713082,2019
Encino Man,Disney,40693477,1992
Max Payne,Fox,40689393,2008
Little,Universal,40673960,2019
Stranger Than Fiction,Sony,40660952,2006
Three Fugitives,Disney,40586886,1989
Duplicity,Universal,40572825,2009
Ghost in the Shell (2017),Paramount,40563557,2017
Blue Crush,Universal,40390647,2002
The Master of Disguise,Sony,40388794,2002
You Got Served,Screen Gems,40363810,2004
Bridget Jones: The Edge of Reason,Universal,40226215,2004
Hardball,Paramount,40222729,2001
There Will Be Blood,Paramount,40222514,2007
Catwoman,WB,40202379,2004
Legion (2010),Screen Gems,40168080,2010
Big Business,Disney,40150487,1988
Resident Evil,Screen Gems,40119709,2002
The Wild Thornberrys,Paramount,40108697,2002
Allied,Paramount,40098064,2016
Collateral Damage,WB,40077257,2002
Man of the House,Disney,40070995,1995
Enough,Sony,40007742,2002
I Still Know What You Did Last Summer,Sony,40002112,1998
The Ladykillers,Disney,39799191,2004
The Beach,Fox,39785027,2000
Epic Movie,Fox,39739367,2007
Hitman,Fox,39687694,2007
Out for Justice,WB,39673161,1991
30 Days of Night,Sony,39568996,2007
Hocus Pocus,Disney,39514713,1993
Nobody's Fool,Paramount,39491975,1994
Crazy Heart,Fox,39464306,2009
Burlesque,Screen Gems,39440655,2010
Joe Versus the Volcano,WB,39404261,1990
Rugrats Go Wild,Paramount,39402572,2003
Body of Lies,WB,39394666,2008
The Expendables 3,Lionsgate,39322544,2014
Lakeview Terrace,Screen Gems,39263506,2008
Anna and the King,Fox,39263420,1999
King Arthur: Legend of the Sword,WB,39175066,2017
The Grudge 2,Sony,39143839,2006
What's Love Got to Do with It,Disney,39100956,1993
Undercover Brother,Universal,39089928,2002
The Sisterhood of the Traveling Pants,WB,39053061,2005
Something Borrowed,WB,39046489,2011
Primary Colors,Universal,39001187,1998
Hot Shots! Part Deux,Fox,38922972,1993
French Kiss,Fox,38896854,1995
The Paper,Universal,38824341,1994
Happy Gilmore,Universal,38824099,1996
Cruel Intentions,Sony,38773785,1999
Stardust,Paramount,38634938,2007
The Ghost and the Darkness,Paramount,38619405,1996
On Deadly Ground,WB,38590458,1994
Nerve,Lionsgate,38583626,2016
Surrogates,Disney,38577772,2009
Sex Tape,Sony,38543473,2014
Rock of Ages,WB,38518613,2012
Gridiron Gang,Sony,38432823,2006
Midnight Run,Universal,38413606,1988
Last Holiday,Paramount,38399961,2006
47 Ronin,Universal,38362475,2013
Evolution,DreamWorks,38345494,2001
Brooklyn,Fox,38322743,2015
Higher Learning,Sony,38290723,1995
Not Another Teen Movie,Sony,38252284,2001
Meet the Spartans,Fox,38233676,2008
Mighty Morphin' Power Rangers,Fox,38187431,1995
The Original Kings of Comedy,Paramount,38182790,2000
10 Things I Hate About You,Disney,38178166,1999
Treasure Planet,Disney,38176783,2002
Head of State,DreamWorks,38125247,2003
Ninja Assassin,WB,38122883,2009
The Doctor,Disney,38120905,1991
Harold and Kumar Escape from Guantanamo Bay,WB,38108728,2008
Richie Rich,WB,38087756,1994
Showtime,WB,38082712,2002
Urban Legend,Sony,38072438,1998
Jigsaw,Lionsgate,38052832,2017
Dead Again,Paramount,38016380,1991
Seven Years in Tibet,Sony,37957682,1997
First Sunday,Screen Gems,37931869,2008
"Big Mommas: Like Father, Like Son",Fox,37915414,2011
The Dead Pool,WB,37903295,1988
Bedazzled (2000),Fox,37886980,2000
Wild (2014),Fox,37880356,2014
Mars Attacks!,WB,37771017,1996
The Secret Life of Bees,Fox,37770162,2008
Sky Captain and the World of Tomorrow,Paramount,37762677,2004
For Colored Girls,Lionsgate,37729698,2010
How Stella Got Her Groove Back,Fox,37672941,1998
Red Riding Hood,WB,37662162,2011
First Knight,Sony,37600435,1995
Out of Sight,Universal,37562568,1998
In Time,Fox,37520095,2011
Abraham Lincoln: Vampire Hunter,Fox,37519139,2012
Invictus,WB,37491364,2009
Raising Helen,Disney,37486512,2004
The Longest Ride,Fox,37446117,2015
Paul,Universal,37412945,2011
The Wild,Disney,37384046,2006
Man of the Year,Universal,37327390,2006
J. Edgar,WB,37306030,2011
The Roommate,Screen Gems,37300107,2011
Crossroads,Paramount,37191304,2002
28 Days,Sony,37170488,2000
The Guilt Trip,Paramount,37134215,2012
Tyler Perry's The Family That Preys,Lionsgate,37105289,2008
The Change-Up,Universal,37081475,2011
30 Minutes or Less,Sony,37053924,2011
Keeping the Faith,Disney,37047880,2000
Fight Club,Fox,37030102,1999
Sphere,WB,37020277,1998
State of Play,Universal,37017955,2009
Clockstoppers,Paramount,36989956,2002
Carlito's Way,Universal,36948322,1993
That's My Boy,Sony,36931089,2012
Matchstick Men,WB,36906460,2003
16 Blocks,WB,36895141,2006
Risen,Sony,36880033,2016
Just Cause,WB,36853222,1995
My Favorite Martian,Disney,36850101,1999
Kiss of the Dragon,Fox,36845124,2001
Notorious (2009),Fox,36843682,2009
The Brave One,WB,36793804,2007
The Heartbreak Kid,Paramount,36787257,2007
Junior,Universal,36763355,1994
Alive,Disney,36733909,1993
Recess: School's Out,Disney,36706141,2001
8MM,Sony,36663315,1999
Vampires Suck,Fox,36661504,2010
Taxi,Fox,36611066,2004
Freedom Writers,Paramount,36605602,2007
The 'Burbs,Universal,36601993,1989
Soapdish,Paramount,36489888,1991
"To Wong Foo, Thanks for Everything, Julie Newmar",Universal,36474193,1995
Million Dollar Arm,Disney,36457627,2014
Son-in-Law,Disney,36448400,1993
The Thin Red Line,Fox,36400491,1998
Vegas Vacation,WB,36400360,1997
Sucker Punch,WB,36392502,2011
National Security,Sony,36381186,2003
The Commuter,Lionsgate,36343858,2018
Accepted,Universal,36323505,2006
Death Race,Universal,36316032,2008
Sliver,Paramount,36300000,1993
The Sentinel,Fox,36280697,2006
The 15:17 to Paris,WB,36276286,2018
The Nice Guys,WB,36261763,2016
American Assassin,Lionsgate,36249674,2017
Under the Sea 3D,WB,36139575,2009
What a Girl Wants,WB,36105433,2003
Walking with Dinosaurs,Fox,36076121,2013
Hanging Up,Sony,36050230,2000
The Pink Panther 2,Sony,35922978,2009
The Island,DreamWorks,35818913,2005
Smokin' Aces,Universal,35787686,2007
Trouble with the Curve,WB,35763137,2012
The Mothman Prophecies,Screen Gems,35746370,2002
Changeling,Universal,35739802,2008
Robin Hood: Men in Tights,Fox,35739755,1993
The Indian in the Cupboard,Paramount,35656131,1995
Larry Crowne,Universal,35608245,2011
Dirty Grandpa,Lionsgate,35593113,2016
Children of Men,Universal,35552383,2006
Money Train,Sony,35431113,1995
The Ringer,Fox,35428675,2005
The Boy Next Door,Universal,35423380,2015
The Intruder (2019) ,Screen Gems,35419122,2019
The Messengers,Screen Gems,35374833,2007
The Watch,Fox,35353000,2012
A Goofy Movie,Disney,35348597,1995
Intolerable Cruelty,Universal,35327628,2003
Frankenweenie,Disney,35291068,2012
Selena,WB,35281794,1997
The Flintstones in Viva Rock Vegas,Universal,35268275,2000
Carrie (2013),Screen Gems,35266619,2013
For Love of the Game,Universal,35188640,1999
K-19: The Widowmaker,Paramount,35168966,2002
Star Wars: The Clone Wars,WB,35161554,2008
Fletch Lives,Universal,35150960,1989
Ouija: Origin of Evil,Universal,35144505,2016
Dragon: The Bruce Lee Story,Universal,35113743,1993
Deck the Halls,Fox,35093569,2006
Pan,WB,35088320,2015
The Hot Chick,Disney,35081594,2002
Step Up Revolution,Lionsgate,35074677,2012
A Very Harold & Kumar 3D Christmas,WB,35061031,2011
Green Zone,Universal,35053660,2010
The Skulls,Universal,35046120,2000
Tyler Perry's Good Deeds,Lionsgate,35025791,2012
Good Luck Chuck,Lionsgate,35017297,2007
50/50,Summit,35014192,2011
The 5th Wave,Sony,34916787,2016
The Truth About Cats & Dogs,Fox,34861807,1996
White Fang,Disney,34793160,1991
Cradle 2 the Grave,WB,34712347,2003
Judge Dredd,Disney,34693481,1995
Addicted to Love,WB,34673095,1997
Dangerous Liaisons,WB,34670720,1988
Man on the Moon,Universal,34607430,1999
The 6th Day,Sony,34604280,2000
Hot Pursuit,WB,34580201,2015
Jack Frost,WB,34562556,1998
Crawl,Paramount,34550773,2019
Concussion (2015),Sony,34542474,2015
Malibu's Most Wanted,WB,34432201,2003
The Favourite,Fox,34366783,2018
Inferno,Sony,34343574,2016
Texas Chainsaw 3D,Lionsgate,34341945,2013
Muppet Treasure Island,Disney,34327391,1996
Babel,Paramount,34302837,2006
Alexander,WB,34297191,2004
This is Where I Leave You,WB,34296320,2014
The Hunted,Paramount,34244097,2003
My Dog Skip,WB,34134641,2000
"Everything, Everything",WB,34121140,2017
Instinct,Disney,34105207,1999
The Best Man,Universal,34102780,1999
The DUFF,Lionsgate,34030343,2015
King Ralph,Universal,34002045,1991
Closer,Sony,33987757,2004
The Relic,Paramount,33956608,1997
Darkman,Universal,33878502,1990
Mickey Blue Eyes,WB,33864342,1999
All About Steve,Fox,33862903,2009
Stuck on You,Fox,33832741,2003
Where the Heart Is,Fox,33772838,2000
She's the Man,Paramount,33741133,2006
Dreamcatcher,WB,33715436,2003
Geostorm,WB,33700160,2017
Curly Sue,WB,33691313,1991
Nell,Fox,33683817,1994
The Gambler,Paramount,33680992,2014
Dying Young,Fox,33669178,1991
Marmaduke,Fox,33644788,2010
R.I.P.D.,Universal,33618855,2013
Flags of Our Fathers,Paramount,33602376,2006
Devil,Universal,33601190,2010
The Spy Who Dumped Me,Lionsgate,33562069,2018
I Spy,Sony,33561137,2002
Pay It Forward,WB,33519628,2000
Matilda,Sony,33459416,1996
Black Knight,Fox,33426971,2001
Street Fighter,Universal,33423521,1994
Monster Trucks,Paramount,33370166,2017
See Spot Run,WB,33357476,2001
The Informant!,WB,33316821,2009
Mr. Bean's Holiday,Universal,33302167,2007
Grand Canyon,Fox,33243020,1991
Breach,Universal,33231264,2007
Forget Paris,Sony,33177694,1995
Striptease,Sony,33109743,1996
Zodiac,Paramount,33080084,2007
The Second Best Exotic Marigold Hotel,Fox,33078266,2015
The Rite,WB,33047633,2011
Arthur (2011),WB,33035397,2011
Daylight,Universal,33023469,1996
Mercury Rising,Universal,32935289,1998
The Joy Luck Club,Disney,32901136,1993
In Her Shoes,Fox,32880591,2005
Bad News Bears,Paramount,32868349,2005
Drillbit Taylor,Paramount,32862104,2008
Team America: World Police,Paramount,32786074,2004
Homeward Bound II: Lost in San Francisco,Disney,32772492,1996
The Last House on the Left (2009),Universal,32752215,2009
Dreamer: Inspired by a True Story,DreamWorks,32751093,2005
Hereafter,WB,32746941,2010
Annihilation,Paramount,32732301,2018
Driven,WB,32720065,2001
The 13th Warrior,Disney,32698899,1999
Taking Lives,WB,32682342,2004
When in Rome,Disney,32680633,2010
Tommy Boy,Paramount,32679899,1995
Because of Winn-Dixie,Fox,32647042,2005
The Accidental Tourist,WB,32632093,1988
Proof of Life,WB,32598931,2000
Hard Target,Universal,32589677,1993
Darkness Falls,Sony,32551396,2003
October Sky,Universal,32547800,1999
Bend It Like Beckham,Fox,32543449,2003
Almost Famous,DreamWorks,32534850,2000
Jungle Fever,Universal,32482682,1991
Unfriended,Universal,32482090,2015
Paranormal Activity: The Marked Ones,Paramount,32462372,2014
The Sandlot,Fox,32434006,1993
Black Sheep,Paramount,32417995,1996
(500) Days of Summer,Fox,32391374,2009
Bride of Chucky,Universal,32383850,1998
Love and Other Drugs,Fox,32367005,2010
Entourage,WB,32363404,2015
Kevin Hart: Let Me Explain,Lionsgate,32244051,2013
"Definitely, Maybe",Universal,32241649,2008
Anacondas: The Hunt for the Blood Orchid,Screen Gems,32238923,2004
The Love Guru,Paramount,32235793,2008
Fist Fight,WB,32187017,2017
Cold Pursuit,Lionsgate,32138862,2019
Final Fantasy: The Spirits Within,Sony,32131830,2001
Analyze That,WB,32130627,2002
Stealth,Sony,32116746,2005
The Accused,Paramount,32078318,1988
House of Wax,WB,32064800,2005
The Shadow,Universal,32063435,1994
Mr. Magorium's Wonder Emporium,Fox,32061555,2007
Copycat,WB,32051917,1995
Isle Of Dogs,Fox,32015231,2018
Earth (2009),Disney,32011576,2009
She's Out of My League,Paramount,32010860,2010
Paper Towns,Fox,32000304,2015
Metro,Disney,32000301,1997
Murder by Numbers,WB,31945749,2002
Lean on Me,WB,31906454,1989
Cop and a Half,Universal,31889691,1993
Patriots Day,Lionsgate,31886361,2016
Extremely Loud & Incredibly Close,WB,31847881,2011
Push,Summit,31811527,2009
Lake Placid,Fox,31770414,1999
The Wedding Date,Universal,31726995,2005
The Soloist,Paramount,31720158,2009
Transporter 3,Lionsgate,31715062,2008
Nobody's Fool,Paramount,31713110,2018
Quarantine,Screen Gems,31691811,2008
August Rush,WB,31664162,2007
For Richer or Poorer,Universal,31642995,1997
From Hell,Fox,31602566,2001
One Hour Photo,Fox,31597131,2002
Chappie,Sony,31569268,2015
Scott Pilgrim vs. the World,Universal,31524275,2010
Random Hearts,Sony,31502583,1999
Nick and Norah's Infinite Playlist,Sony,31487293,2008
United 93,Universal,31483450,2006
Beverly Hills Ninja,Sony,31480418,1997
The Eye,Lionsgate,31418697,2008
Picture Perfect,Fox,31407873,1997
Eddie,Disney,31387164,1996
Leatherheads,Universal,31373938,2008
Tyler Perry's Daddy's Little Girls,Lionsgate,31366978,2007
Johnson Family Vacation,Fox,31203964,2004
The Core,Paramount,31186896,2003
The Secret Garden,WB,31181347,1993
How High,Universal,31178740,2001
The Mortal Instruments: City of Bones,Screen Gems,31165421,2013
Charlie St. Cloud,Universal,31162545,2010
Gods of Egypt,Lionsgate,31153464,2016
A Perfect World,WB,31130999,1993
Crimson Peak,Universal,31090320,2015
The Pirates! Band of Misfits,Sony,31051126,2012
Calendar Girls,Disney,31041759,2003
Collateral Beauty,WB,31016021,2016
Morning Glory,Paramount,31011732,2010
Get Rich or Die Tryin',Paramount,30985352,2005
Hollywood Homicide,Sony,30940691,2003
Joyful Noise,WB,30932113,2012
The Legend of Bagger Vance,DreamWorks,30919168,2000
Home Alone 3,Fox,30882515,1997
Powder,Disney,30862156,1995
Robin Hood (2018),Lionsgate,30824628,2018
I Love Trouble,Disney,30806194,1994
Get On Up,Universal,30703100,2014
Toy Story / Toy Story 2 (3D),Disney,30702446,2009
Mirrors,Fox,30691439,2008
Predator 2,Fox,30669413,1990
Delivery Man,Disney,30664106,2013
Superstar,Paramount,30636478,1999
Major League II,WB,30626182,1994
Super Troopers 2,Fox,30617396,2018
Blank Check,Disney,30577969,1994
Deliver Us From Evil,Screen Gems,30577122,2014
Holmes and Watson,Sony,30573626,2018
Slender Man,Screen Gems,30569484,2018
"Hail, Caesar!",Universal,30498085,2016
The Sitter,Fox,30441326,2011
Sgt. Bilko,Universal,30356793,1996
Underworld: Blood Wars,Screen Gems,30353973,2017
The Mountain Between Us,Fox,30348555,2017
Queen of the Damned,WB,30336800,2002
A Night at the Roxbury,Paramount,30331165,1998
Snatch,Screen Gems,30328156,2000
Dragonfly,Universal,30323400,2002
Long Shot,Lionsgate,30316271,2019
Honey,Universal,30308417,2003
The Banger Sisters,Fox,30307416,2002
Assassins,WB,30303072,1995
The Fighting Temptations,Paramount,30250745,2003
Life (2017),Sony,30234022,2017
Weekend at Bernie's,Fox,30218387,1989
How Do You Know,Sony,30212620,2010
The Art of War,WB,30208599,2000
Riding in Cars with Boys,Sony,30165536,2001
Bad Company,Disney,30160161,2002
Wild Things,Sony,30147739,1998
Ghost Ship,WB,30113491,2002
Space Chimps,Fox,30105968,2008
Daybreakers,Lionsgate,30101577,2010
Free Willy 2: The Adventure Home,WB,30077111,1995
The Bank Job,Lionsgate,30060660,2008
Point of No Return,WB,30038362,1993
Madeline,Sony,29967750,1998
Green Card,Disney,29888235,1990
Double Take,Disney,29831583,2001
Grudge Match,WB,29807260,2013
Teen Titans Go! To The Movies,WB,29790236,2018
Mystery Men,Universal,29762011,1999
The New Guy,Sony,29760152,2002
When the Bough Breaks,Screen Gems,29747603,2016
The Hate U Give,Fox,29719483,2018
Did You Hear About the Morgans?,Sony,29580087,2009
The Fog (2005),Sony,29550869,2005
Fools Rush In,Sony,29481428,1997
Major Payne,Universal,29412050,1995
A Low Down Dirty Shame,Disney,29392418,1994
Pacific Heights,Fox,29381956,1990
Bless the Child,Paramount,29381494,2000
Spice World,Sony,29342592,1998
Confessions of a Teenage Drama Queen,Disney,29331068,2004
Shoot to Kill,Disney,29300090,1988
Zathura,Sony,29258869,2005
Romy & Michele's High School Reunion,Disney,29235353,1997
The Object of My Affection,Fox,29187243,1998
Priest,Screen Gems,29136626,2011
The Insider,Disney,29089912,1999
Rent,Sony,29077547,2005
The Stepfather (2009),Screen Gems,29062561,2009
Out to Sea,Fox,29022252,1997
Nanny McPhee Returns,Universal,29011215,2010
3 Ninjas,Disney,29000301,1992
Chimpanzee,Disney,28972764,2012
The Watcher,Universal,28946615,2000
James and the Giant Peach,Disney,28946127,1996
"Girl, Interrupted",Sony,28912646,1999
The Dream Team,Universal,28890240,1989
In the Army Now,Disney,28881266,1994
Zoolander 2,Paramount,28848693,2016
Draft Day,Lionsgate,28842237,2014
The Five-Year Engagement,Universal,28835528,2012
Kick-Ass 2,Universal,28795985,2013
Point Break (2015),WB,28782481,2015
Deceived,Disney,28738096,1991
Drop Zone,Paramount,28735315,1994
Baby Boy,Sony,28734552,2001
Untraceable,Screen Gems,28687835,2008
Defiance,Paramount,28644813,2008
28 Weeks Later,Fox,28638916,2007
Father's Day,WB,28598376,1997
The Uninvited,Paramount,28596818,2009
Final Analysis,WB,28590665,1992
SwimFan,Fox,28564995,2002
We Own the Night,Sony,28563179,2007
Brothers,Lionsgate,28544157,2009
The Out-of-Towners,Paramount,28544120,1999
Child's Play 2,Universal,28501605,1990
Employee of the Month,Lionsgate,28444855,2006
Garfield: A Tail of Two Kitties,Fox,28426747,2006
Stop! Or My Mom Will Shoot!,Universal,28411210,1992
Doom,Universal,28212337,2005
Ernest Saves Christmas,Disney,28202109,1988
The Prince and Me,Paramount,28176497,2004
The Ant Bully,WB,28142535,2006
Abduction,Lionsgate,28087155,2011
Grosse Pointe Blank,Disney,28084357,1997
Johnny English,Universal,28082366,2003
Happy Death Day 2U,Universal,28051045,2019
The Rescuers Down Under,Disney,27931461,1990
The Edge,Fox,27873386,1997
Crank,Lionsgate,27838408,2006
The Other Sister,Disney,27807627,1999
The Majestic,WB,27807266,2001
Rings,Paramount,27793018,2017
Internal Affairs,Paramount,27734391,1990
Saw VI,Lionsgate,27693292,2009
The Finest Hours,Disney,27569558,2016
Do the Right Thing,Universal,27545445,1989
The Brothers,Screen Gems,27457409,2001
Memphis Belle,WB,27441977,1990
Florence Foster Jenkins,Paramount,27383770,2016
The Last Witch Hunter,Lionsgate,27367660,2015
Brown Sugar,Fox,27363891,2002
Someone Like You,Fox,27343067,2001
High Fidelity,Disney,27287137,2000
The Muppet Christmas Carol,Disney,27281507,1992
Baby Geniuses,Sony,27250736,1999
Cloud Atlas,WB,27108272,2012
The Story of Us,Universal,27100031,1999
Joe Dirt,Sony,27087695,2001
The Musketeer,Universal,27073640,2001
The Missing,Sony,27011180,2003
Hell or High Water,Lionsgate,27007844,2016
The Big Hit,Sony,27007143,1998
Spy Hard,Disney,26960191,1996
